"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 17 06:25:17 GMT 2022","Tue May 17 06:25:30 GMT 2022","12135","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants medium suitcase","Correct product card links for size searched variants medium suitcase",""
"passed","Thu Mar 31 10:52:52 GMT 2022","Thu Mar 31 10:53:00 GMT 2022","7618","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
"passed","Mon May 23 20:02:25 GMT 2022","Mon May 23 20:02:30 GMT 2022","4764","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"passed","Mon Apr 25 13:10:26 GMT 2022","Mon Apr 25 13:10:34 GMT 2022","7737","","Add to Trolley","","Add to Trolley","Add to trolley modal and close by clicking the background overlay","Add to trolley modal and close by clicking the background overlay",""
"passed","Mon Apr 25 14:20:06 GMT 2022","Mon Apr 25 14:20:12 GMT 2022","5453","","Applied filters","","Applied filters","Bookmarked search page should not see applied filters section","Bookmarked search page should not see applied filters section",""
"passed","Mon Mar 28 15:13:56 GMT 2022","Mon Mar 28 15:14:10 GMT 2022","14556","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Wed Apr 20 08:21:24 GMT 2022","Wed Apr 20 08:21:32 GMT 2022","7955","","Feedback on search results page","","Feedback on search results page","Pre-push The feedback box should be reset when the user navigates to a different search term","Pre-push The feedback box should be reset when the user navigates to a different search term",""
"passed","Thu Mar 31 10:52:44 GMT 2022","Thu Mar 31 10:52:51 GMT 2022","6744","","Feedback on search results page","","Feedback on search results page","Pre-push The feedback box should be reset when the user navigates to a different search term","Pre-push The feedback box should be reset when the user navigates to a different search term",""
"passed","Mon Mar 28 12:54:43 GMT 2022","Mon Mar 28 12:55:00 GMT 2022","16146","","Citrus","","Citrus","prepush: citrus products on plain search and sort (desktop/tablet)","prepush: citrus products on plain search and sort (desktop/tablet)",""
"passed","Thu Apr 07 10:47:14 GMT 2022","Thu Apr 07 10:47:31 GMT 2022","16837","","Citrus","","Citrus","prepush: citrus products on plain search and sort (desktop/tablet)","prepush: citrus products on plain search and sort (desktop/tablet)",""
"passed","Thu Mar 31 10:52:57 GMT 2022","Thu Mar 31 10:53:09 GMT 2022","12162","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Fri Apr 01 12:52:04 GMT 2022","Fri Apr 01 12:52:39 GMT 2022","35043","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the continue shopping button","Add to trolley modal and close using the continue shopping button",""
"passed","Fri Apr 01 12:51:59 GMT 2022","Fri Apr 01 12:52:37 GMT 2022","38163","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the continue shopping button","Add to trolley modal and close using the continue shopping button",""
"passed","Wed Apr 20 08:22:14 GMT 2022","Wed Apr 20 08:22:40 GMT 2022","25948","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Mon Mar 28 15:13:32 GMT 2022","Mon Mar 28 15:13:52 GMT 2022","19753","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after single select","Perform sort after single select",""
"passed","Wed Apr 20 08:21:53 GMT 2022","Wed Apr 20 08:21:57 GMT 2022","4856","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"passed","Tue Apr 26 16:56:10 GMT 2022","Tue Apr 26 16:56:21 GMT 2022","10517","","Category facet","","Category facet","Navigate down through the search taxonomy","Navigate down through the search taxonomy",""
"failed","Mon Aug 08 08:55:04 GMT 2022","Mon Aug 08 08:55:20 GMT 2022","16250","","Tagging - Lister Page","","Tagging - Lister Page","Search term matches a category. Refinement automatically applied to tagging","Search term matches a category. Refinement automatically applied to tagging",""
"broken","Tue May 31 15:48:17 GMT 2022","Tue May 31 15:48:57 GMT 2022","40277","","Accessibility","","Accessibility","Accessibility violations on clothing lister page","Accessibility violations on clothing lister page",""
"passed","Thu Oct 20 18:48:51 GMT 2022","Thu Oct 20 18:48:53 GMT 2022","1870","","Search bar","","Search bar","Search bar displays","Search bar displays",""
"passed","Thu Sep 22 13:12:15 GMT 2022","Thu Sep 22 13:12:27 GMT 2022","11658","","CMS displayed content","","CMS displayed content","Navigation from CLP content link","Navigation from CLP content link",""
"passed","Wed Apr 20 07:56:47 GMT 2022","Wed Apr 20 07:56:55 GMT 2022","8286","","Feedback on search results page","","Feedback on search results page","User is happy with their searching experience so clicks the 'Yes' button in the feedback box","User is happy with their searching experience so clicks the 'Yes' button in the feedback box",""
"passed","Mon Apr 25 16:54:32 GMT 2022","Mon Apr 25 16:54:50 GMT 2022","17453","","Applied filters","","Applied filters","Selected PLP+ page filters should not see in the applied filter section","Selected PLP+ page filters should not see in the applied filter section",""
"passed","Mon Apr 25 18:37:35 GMT 2022","Mon Apr 25 18:38:02 GMT 2022","26876","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Clear filters per facet - multi-select","Clear filters per facet - multi-select",""
"passed","Tue Aug 16 19:47:18 GMT 2022","Tue Aug 16 19:47:25 GMT 2022","7691","","CMS content in list","","CMS content in list","Content in canned list visible on filtering","Content in canned list visible on filtering",""
"passed","Tue Apr 26 15:30:59 GMT 2022","Tue Apr 26 15:31:09 GMT 2022","10010","","Clearance badges","","Clearance badges","Search lister page displaying clearance badges","Search lister page displaying clearance badges",""
"passed","Fri Apr 08 10:01:57 GMT 2022","Fri Apr 08 10:02:10 GMT 2022","12866","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
"passed","Wed Apr 20 08:22:16 GMT 2022","Wed Apr 20 08:22:33 GMT 2022","16360","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
"passed","Mon Aug 08 08:32:28 GMT 2022","Mon Aug 08 08:32:49 GMT 2022","21029","","Category facet exact match","","Category facet exact match","User enters an exact category match, then applies a filter","User enters an exact category match, then applies a filter",""
"passed","Fri Apr 08 10:34:35 GMT 2022","Fri Apr 08 10:34:48 GMT 2022","12998","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (desktop/tablet)","Serving 1 citrus ads canned search /list/test-test-test/ (desktop/tablet)",""
"passed","Mon May 23 20:04:39 GMT 2022","Mon May 23 20:04:53 GMT 2022","13379","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
"passed","Fri Apr 08 09:48:48 GMT 2022","Fri Apr 08 09:49:04 GMT 2022","16674","","Canned Search","","Canned Search","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)","Serving 1 citrus ads canned search /list/test-test-test/ (mobile)",""
"passed","Mon May 23 20:04:00 GMT 2022","Mon May 23 20:04:14 GMT 2022","13403","","Sorting Functionality","","Sorting Functionality","prepush - search sorting by Price: Low - High","prepush - search sorting by Price: Low - High",""
"passed","Mon Apr 25 14:20:12 GMT 2022","Mon Apr 25 14:20:16 GMT 2022","4191","","Applied filters","","Applied filters","Bookmarked cat-match search page should not see applied filters section","Bookmarked cat-match search page should not see applied filters section",""
"passed","Mon Mar 28 15:12:50 GMT 2022","Mon Mar 28 15:13:19 GMT 2022","29104","","Google AdSense","","Google AdSense","AdSense requests are called with correct adPage param","AdSense requests are called with correct adPage param",""
"failed","Mon Apr 25 18:45:45 GMT 2022","Mon Apr 25 18:45:50 GMT 2022","5732","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Close filter panel by clicking on background overlay","Close filter panel by clicking on background overlay",""
"passed","Wed Apr 20 08:22:33 GMT 2022","Wed Apr 20 08:22:49 GMT 2022","16088","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Wed Aug 10 11:02:02 GMT 2022","Wed Aug 10 11:02:31 GMT 2022","29174","","Citrus in browse","","Citrus in browse","display 1 citrus product filtered by price in browse (mobile)","display 1 citrus product filtered by price in browse (mobile)",""
"passed","Mon May 16 15:31:44 GMT 2022","Mon May 16 15:31:55 GMT 2022","11244","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants small suitcase","Correct product card links for size searched variants small suitcase",""
"broken","Mon May 16 16:46:24 GMT 2022","Mon May 16 16:46:52 GMT 2022","27779","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants medium suitcase","Correct product card links for size searched variants medium suitcase",""
"passed","Wed Apr 20 08:21:02 GMT 2022","Wed Apr 20 08:21:26 GMT 2022","23627","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
"passed","Wed Apr 20 08:22:49 GMT 2022","Wed Apr 20 08:23:12 GMT 2022","23321","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Mon May 23 20:04:06 GMT 2022","Mon May 23 20:04:13 GMT 2022","7442","","Category facet exact match","","Category facet exact match","prepush","prepush",""
"passed","Mon Apr 25 14:20:29 GMT 2022","Mon Apr 25 14:20:34 GMT 2022","4975","","Applied filters","","Applied filters","Bookmarked browse page should not see applied filters section","Bookmarked browse page should not see applied filters section",""
"broken","Mon Apr 25 18:32:42 GMT 2022","Mon Apr 25 18:32:50 GMT 2022","7594","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Selecting single filters in different facets","Selecting single filters in different facets",""
"passed","Fri Apr 08 10:01:49 GMT 2022","Fri Apr 08 10:02:04 GMT 2022","14652","","All Categories Link","","All Categories Link","selecting all categories link displays all categories for users search","selecting all categories link displays all categories for users search",""
"failed","Thu Apr 07 09:58:04 GMT 2022","Thu Apr 07 09:58:14 GMT 2022","9796","","Perceived Availability","","Perceived Availability","Localise tooltip prompt browse","Localise tooltip prompt browse",""
"passed","Mon Mar 28 15:13:45 GMT 2022","Mon Mar 28 15:13:55 GMT 2022","10205","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Thu Mar 31 10:52:43 GMT 2022","Thu Mar 31 10:52:48 GMT 2022","4916","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"passed","Wed Apr 20 08:21:34 GMT 2022","Wed Apr 20 08:21:42 GMT 2022","7349","","Bespoke white goods product card","","Bespoke white goods product card","Bespoke white goods product cards displayed on white goods browse lister","Bespoke white goods product cards displayed on white goods browse lister",""
"passed","Mon Apr 25 18:35:32 GMT 2022","Mon Apr 25 18:35:59 GMT 2022","26715","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after multi-select PRICE> and BRANDS","Perform sort after multi-select PRICE> and BRANDS",""
"passed","Fri Apr 08 10:01:16 GMT 2022","Fri Apr 08 10:01:23 GMT 2022","7004","","Bespoke white goods product card","","Bespoke white goods product card","Bespoke white goods product cards displayed on white goods browse lister","Bespoke white goods product cards displayed on white goods browse lister",""
"passed","Wed Aug 10 14:53:10 GMT 2022","Wed Aug 10 14:53:27 GMT 2022","17091","","CMS content in list","","CMS content in list","Content in PLP list","Content in PLP list",""
"passed","Mon Apr 25 18:35:03 GMT 2022","Mon Apr 25 18:35:15 GMT 2022","11874","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Ensure sorting is maintained after single select","Ensure sorting is maintained after single select",""
"passed","Fri Apr 08 10:00:55 GMT 2022","Fri Apr 08 10:01:17 GMT 2022","22003","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Wed Apr 20 08:22:27 GMT 2022","Wed Apr 20 08:22:39 GMT 2022","11992","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"failed","Wed Sep 28 15:37:33 GMT 2022","Wed Sep 28 15:37:55 GMT 2022","22271","","Perceived Availability","","Perceived Availability","Localised and products available to collect from <date>","Localised and products available to collect from <date>",""
"passed","Wed Apr 20 08:21:33 GMT 2022","Wed Apr 20 08:21:41 GMT 2022","8051","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
"passed","Mon Apr 25 16:54:15 GMT 2022","Mon Apr 25 16:54:32 GMT 2022","17804","","Applied filters","","Applied filters","Selected search page filters should see in the applied filter section","Selected search page filters should see in the applied filter section",""
"passed","Mon Apr 25 18:34:34 GMT 2022","Mon Apr 25 18:35:03 GMT 2022","29355","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Selecting multiple filters across different facets PRICE and BRANDS","Selecting multiple filters across different facets PRICE and BRANDS",""
"passed","Fri Apr 01 12:52:45 GMT 2022","Fri Apr 01 12:53:16 GMT 2022","30230","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"passed","Wed Apr 20 08:21:01 GMT 2022","Wed Apr 20 08:21:16 GMT 2022","14188","","Tagging - Lister Page","","Tagging - Lister Page","prepush","prepush",""
"passed","Mon Mar 28 15:14:10 GMT 2022","Mon Mar 28 15:14:33 GMT 2022","22549","","Google AdSense","","Google AdSense","AdSense requests are called with correct channel ids on desktop/tablet","AdSense requests are called with correct channel ids on desktop/tablet",""
"passed","Fri Apr 08 10:01:48 GMT 2022","Fri Apr 08 10:02:00 GMT 2022","11418","","Perceived Availability","","Perceived Availability","Localised and product is OOS for collection and delivery (prepush)","Localised and product is OOS for collection and delivery (prepush)",""
"passed","Mon May 23 20:02:40 GMT 2022","Mon May 23 20:02:45 GMT 2022","5557","","Back to search results page from search directory page","","Back to search results page from search directory page","Navigating directly to the /sd route","Navigating directly to the /sd route",""
"broken","Mon May 23 19:21:01 GMT 2022","Mon May 23 19:21:40 GMT 2022","39537","","Reset All Button in the filter model","","Reset All Button in the filter model","Apply Reset All after filters","Apply Reset All after filters",""
"passed","Mon May 23 20:04:53 GMT 2022","Mon May 23 20:05:08 GMT 2022","15309","","Google AdSense","","Google AdSense","AdSense requests when going to no results","AdSense requests when going to no results",""
"passed","Wed Apr 20 08:21:53 GMT 2022","Wed Apr 20 08:22:09 GMT 2022","16383","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Thu Mar 31 10:52:58 GMT 2022","Thu Mar 31 10:53:04 GMT 2022","6376","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Mon Jun 06 13:07:06 GMT 2022","Mon Jun 06 13:07:21 GMT 2022","15455","","Unsupported browser","","Unsupported browser","Customer browsing account page with an unsupported browser","Customer browsing account page with an unsupported browser",""
"passed","Mon May 23 20:03:39 GMT 2022","Mon May 23 20:04:00 GMT 2022","20889","","Google AdSense","","Google AdSense","AdSense requests when navigating from browse PLP to search and back again","AdSense requests when navigating from browse PLP to search and back again",""
"passed","Fri Apr 08 10:01:20 GMT 2022","Fri Apr 08 10:01:28 GMT 2022","8664","","Perceived Availability","","Perceived Availability","Add your postcode link displays when not localised (prepush)","Add your postcode link displays when not localised (prepush)",""
"passed","Fri Apr 08 10:01:26 GMT 2022","Fri Apr 08 10:01:38 GMT 2022","12224","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Mon Apr 25 14:20:16 GMT 2022","Mon Apr 25 14:20:21 GMT 2022","4644","","Applied filters","","Applied filters","Bookmarked filtered search page should see applied filters section","Bookmarked filtered search page should see applied filters section",""
"passed","Thu Mar 31 10:53:01 GMT 2022","Thu Mar 31 10:53:19 GMT 2022","18602","","Citrus","","Citrus","prepush: citrus products on plain search and sort (desktop/tablet)","prepush: citrus products on plain search and sort (desktop/tablet)",""
"passed","Mon Jun 06 13:07:05 GMT 2022","Mon Jun 06 13:07:17 GMT 2022","12348","","Unsupported browser","","Unsupported browser","Customer browsing basket page with an unsupported browser","Customer browsing basket page with an unsupported browser",""
"passed","Mon May 23 20:01:20 GMT 2022","Mon May 23 20:01:32 GMT 2022","11337","","Bespoke white goods product card","","Bespoke white goods product card","Bespoke white goods product cards displayed on white goods browse lister","Bespoke white goods product cards displayed on white goods browse lister",""
"passed","Fri Oct 21 10:14:18 GMT 2022","Fri Oct 21 10:14:18 GMT 2022","500","","API proxies","","API proxies","Events page CMS API proxy","Events page CMS API proxy",""
"passed","Wed Apr 20 08:21:26 GMT 2022","Wed Apr 20 08:21:52 GMT 2022","26206","","Google AdSense","","Google AdSense","AdSense requests are called with correct adPage param","AdSense requests are called with correct adPage param",""
"passed","Tue Apr 26 16:19:38 GMT 2022","Tue Apr 26 16:19:52 GMT 2022","14557","","Sorting Functionality","","Sorting Functionality","Filter maintained after Sorting Price: High - Low","Filter maintained after Sorting Price: High - Low",""
"passed","Mon May 23 20:01:20 GMT 2022","Mon May 23 20:01:30 GMT 2022","10334","","Feedback on search results page","","Feedback on search results page","Pre-push The feedback box should be reset when the user navigates to a different search term","Pre-push The feedback box should be reset when the user navigates to a different search term",""
"passed","Thu Mar 31 10:52:20 GMT 2022","Thu Mar 31 10:52:33 GMT 2022","13032","","Pagination on search results page","","Pagination on search results page","Paginating backwards and forwards through the results with next and previous buttons","Paginating backwards and forwards through the results with next and previous buttons",""
"passed","Fri Apr 01 12:53:08 GMT 2022","Fri Apr 01 12:53:39 GMT 2022","30436","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"passed","Mon May 23 20:02:05 GMT 2022","Mon May 23 20:02:20 GMT 2022","15311","","Sorting Functionality","","Sorting Functionality","prepush - search sorting by Price: Low - High","prepush - search sorting by Price: Low - High",""
"passed","Mon Jun 06 13:07:06 GMT 2022","Mon Jun 06 13:07:18 GMT 2022","11919","","Unsupported browser","","Unsupported browser","Customer browsing search page with an unsupported browser","Customer browsing search page with an unsupported browser",""
"passed","Mon Mar 28 15:13:40 GMT 2022","Mon Mar 28 15:13:56 GMT 2022","15497","","Google AdSense","","Google AdSense","AdSense requests when coming from no results","AdSense requests when coming from no results",""
